ID,Shinji,Kyuji,Kyuji_Unicode,Kyuji_Unicode_with_IVS,CID
571,雇,雇,U+96C7,U+96C7 U+E0101,CID+13758
572,誇,誇,U+8A87,,
573,鼓,鼓,U+9F13,,
574,錮,錮,U+932E,,
575,顧,顧,U+9867,U+9867 U+E0101,CID+13759
576,五,五,U+4E94,,
577,互,互,U+4E92,,
578,午,午,U+5348,,
579,呉,吳,U+5433,,
580,後,後,U+5F8C,,
581,娯,娛,U+5A1B,,
582,悟,悟,U+609F,,
583,碁,碁,U+7881,,
584,語,語,U+8A9E,,
585,誤,誤,U+8AA4,U+8AA4 U+E0101,CID+13762
586,護,護,U+8B77,,
587,口,口,U+53E3,,
588,工,工,U+5DE5,,
589,公,公,U+516C,U+516C U+E0101,CID+13440
590,勾,勾,U+52FE,,
591,孔,孔,U+5B54,,
592,功,功,U+529F,,
593,巧,巧,U+5DE7,,
594,広,廣,U+5EE3,,
595,甲,甲,U+7532,,
596,交,交,U+4EA4,U+4EA4 U+E0101,CID+13439
597,光,光,U+5149,,
598,向,向,U+5411,,
599,后,后,U+540E,,
600,好,好,U+597D,,
601,江,江,U+6C5F,,
602,考,考,U+8003,,
603,行,行,U+884C,,
604,坑,坑,U+5751,,
605,孝,孝,U+5B5D,,
606,抗,抗,U+6297,,
607,攻,攻,U+653B,,
608,更,更,U+66F4,U+66F4 U+E0101,CID+13441
609,効,效,U+6548,,
610,幸,幸,U+5E78,,
611,拘,拘,U+62D8,,
612,肯,肯,U+80AF,,
613,侯,侯,U+4FAF,,
614,厚,厚,U+539A,,
615,恒,恆,U+6046,,
616,洪,洪,U+6D2A,,
617,皇,皇,U+7687,,
618,紅,紅,U+7D05,,
619,荒,荒,U+8352,U+8352 U+E0101,CID+13772
620,郊,郊,U+90CA,,
621,香,香,U+9999,,
622,候,候,U+5019,,
623,校,校,U+6821,U+6821 U+E0101,CID+13442
624,耕,耕,U+8015,U+8015 U+E0101,CID+13770
625,航,航,U+822A,,
626,貢,貢,U+8CA2,,
627,降,降,U+964D,U+964D U+E0101,CID+13447
628,高,高,U+9AD8,,
629,康,康,U+5EB7,,
630,控,控,U+63A7,U+63A7 U+E0101,CID+13766
631,梗,梗,U+6897,U+6897 U+E0100,CID+1998
632,黄,黃,U+9EC3,,
633,喉,喉,U+5589,,
634,慌,慌,U+614C,U+614C U+E0101,CID+13764
635,港,港,U+6E2F,U+6E2F U+E0101,CID+13769
636,硬,硬,U+786C,U+786C U+E0101,CID+13443
637,絞,絞,U+7D5E,U+7D5E U+E0101,CID+13444
638,項,項,U+9805,,
639,溝,溝,U+6E9D,U+6E9D U+E0101,CID+7681
640,鉱,鑛,U+945B,,
641,構,構,U+69CB,U+69CB U+E0101,CID+13767
642,綱,綱,U+7DB1,,
643,酵,酵,U+9175,,
644,稿,稿,U+7A3F,,
645,興,興,U+8208,,
646,衡,衡,U+8861,,
647,鋼,鋼,U+92FC,,
648,講,講,U+8B1B,U+8B1B U+E0101,CID+13773
649,購,購,U+8CFC,U+8CFC U+E0102,CID+13774
650,乞,乞,U+4E5E,,
651,号,號,U+865F,,
652,合,合,U+5408,,
653,拷,拷,U+62F7,,
654,剛,剛,U+525B,,
655,傲,傲,U+50B2,,
656,豪,豪,U+8C6A,,
657,克,克,U+514B,,
658,告,吿,U+543F,,
659,谷,谷,U+8C37,,
660,刻,刻,U+523B,,
661,国,國,U+570B,,
662,黒,黑,U+9ED1,,
663,穀,穀,U+FA54,,
664,酷,酷,U+9177,U+9177 U+E0101,CID+13776
665,獄,獄,U+7344,,
666,骨,骨,U+9AA8,,
667,駒,駒,U+99D2,,
668,込,込,U+8FBC,U+8FBC U+E0101,CID+13779
669,頃,頃,U+9803,,
670,今,今,U+4ECA,,
671,困,困,U+56F0,,
672,昆,昆,U+6606,,
673,恨,恨,U+6068,,
674,根,根,U+6839,,
675,婚,婚,U+5A5A,,
676,混,混,U+6DF7,,
677,痕,痕,U+75D5,,
678,紺,紺,U+7D3A,,
679,魂,魂,U+9B42,,
680,墾,墾,U+58BE,,
681,懇,懇,U+61C7,,
682,左,左,U+5DE6,,
683,佐,佐,U+4F50,,
684,沙,沙,U+6C99,,
685,査,査,U+67FB,,
686,砂,砂,U+7802,,
687,唆,唆,U+5506,,
688,差,差,U+5DEE,,
689,詐,詐,U+8A50,,
690,鎖,鎖,U+9396,U+9396 U+E0101,CID+13781
691,座,座,U+5EA7,,
692,挫,挫,U+632B,,
693,才,才,U+624D,,
694,再,再,U+518D,,
695,災,災,U+707D,,
696,妻,妻,U+59BB,,
697,采,采,U+91C7,U+91C7 U+E0101,CID+7685
698,砕,碎,U+788E,,
699,宰,宰,U+5BB0,,
700,栽,栽,U+683D,,
